annot_gene_id,Known,Antisense,Intergenic
ENSMUSG00000001785.13,1610.0,0.0,0.0
ENSMUSG00000001786.14,200.0,0.0,0.0
ENSMUSG00000001794.13,649.0,0.0,0.0
ENSMUSG00000001804.9,1.0,0.0,0.0
ENSMUSG00000001827.12,2.0,0.0,0.0
ENSMUSG00000001829.17,1617.0,0.0,0.0
ENSMUSG00000001833.17,2979.0,0.0,0.0
ENSMUSG00000001844.10,457.0,0.0,0.0
ENSMUSG00000001847.14,1840.0,0.0,0.0
ENSMUSG00000001855.15,211.0,0.0,0.0
ENSMUSG00000001864.13,2862.0,0.0,0.0
ENSMUSG00000001870.16,611.0,0.0,0.0
ENSMUSG00000001891.16,1276.0,0.0,0.0
ENSMUSG00000001909.16,2628.0,0.0,0.0
ENSMUSG00000001910.4,680.0,0.0,0.0
ENSMUSG00000001911.16,1585.0,0.0,0.0
ENSMUSG00000001918.17,420.0,0.0,0.0
ENSMUSG00000001924.15,5949.0,0.0,0.0
ENSMUSG00000001930.17,15.0,0.0,0.0
ENSMUSG00000001942.8,16.0,0.0,0.0
ENSMUSG00000001946.14,1.0,0.0,0.0
ENSMUSG00000001948.10,3.0,0.0,0.0
ENSMUSG00000001962.8,455.0,0.0,0.0
ENSMUSG00000001964.14,83.0,0.0,0.0
ENSMUSG00000001983.7,86.0,0.0,0.0
ENSMUSG00000001985.9,16.0,0.0,0.0
ENSMUSG00000001995.9,99.0,0.0,0.0
ENSMUSG00000001998.15,210.0,0.0,0.0
ENSMUSG00000001999.15,276.0,0.0,0.0
ENSMUSG00000002006.12,1.0,0.0,0.0
ENSMUSG00000002007.5,399.0,0.0,0.0
ENSMUSG00000002010.17,1190.0,0.0,0.0
ENSMUSG00000002012.13,1.0,0.0,0.0
ENSMUSG00000002014.12,321.0,0.0,0.0
ENSMUSG00000002015.5,1119.0,0.0,0.0
ENSMUSG00000002017.10,676.0,0.0,0.0
ENSMUSG00000002020.15,635.0,0.0,0.0
ENSMUSG00000002028.13,91.0,0.0,0.0
ENSMUSG00000002031.12,193.0,0.0,0.0
ENSMUSG00000002032.17,11.0,0.0,0.0
ENSMUSG00000002043.17,75.0,0.0,0.0
ENSMUSG00000002052.6,284.0,0.0,0.0
ENSMUSG00000002055.9,257.0,0.0,0.0
ENSMUSG00000002058.13,115.0,0.0,0.0
ENSMUSG00000002059.18,1437.0,0.0,0.0
ENSMUSG00000002064.10,556.0,0.0,0.0
ENSMUSG00000002068.16,904.0,0.0,0.0
ENSMUSG00000002076.12,26.0,0.0,0.0
ENSMUSG00000002083.13,128.0,0.0,0.0
ENSMUSG00000002100.15,1.0,0.0,0.0
ENSMUSG00000002102.15,5882.0,0.0,0.0
ENSMUSG00000002103.15,192.0,0.0,0.0
ENSMUSG00000002104.11,925.0,0.0,0.0
ENSMUSG00000002105.15,1061.0,0.0,0.0
ENSMUSG00000002107.18,987.0,0.0,0.0
ENSMUSG00000002108.10,14.0,0.0,0.0
ENSMUSG00000002109.14,23.0,0.0,0.0
ENSMUSG00000002129.11,1331.0,0.0,0.0
ENSMUSG00000002147.18,10.0,0.0,0.0
ENSMUSG00000002205.16,178.0,0.0,0.0
ENSMUSG00000002210.11,280.0,0.0,0.0
ENSMUSG00000002221.11,198.0,0.0,0.0
ENSMUSG00000002222.14,213.0,0.0,0.0
ENSMUSG00000002227.15,120.0,0.0,0.0
ENSMUSG00000002228.7,10.0,0.0,0.0
ENSMUSG00000002233.13,882.0,0.0,0.0
ENSMUSG00000002249.21,100.0,0.0,0.0
ENSMUSG00000002250.16,22.0,0.0,0.0
ENSMUSG00000002257.8,204.0,0.0,0.0
ENSMUSG00000002265.16,339.0,0.0,0.0
ENSMUSG00000002266.17,55.0,0.0,0.0
ENSMUSG00000002274.13,36.0,0.0,0.0
ENSMUSG00000002279.19,314.0,0.0,0.0
ENSMUSG00000002280.11,729.0,0.0,0.0
ENSMUSG00000002289.16,837.0,0.0,0.0
ENSMUSG00000002297.16,427.0,0.0,0.0
ENSMUSG00000002307.16,643.0,0.0,0.0
ENSMUSG00000002308.16,313.0,0.0,0.0
ENSMUSG00000002319.16,2203.0,0.0,0.0
ENSMUSG00000002320.15,1567.0,0.0,0.0
ENSMUSG00000002325.15,37.0,0.0,0.0
ENSMUSG00000002326.6,346.0,0.0,0.0
ENSMUSG00000002329.7,410.0,0.0,0.0
ENSMUSG00000002332.16,514.0,0.0,0.0
ENSMUSG00000002341.8,1.0,0.0,0.0
ENSMUSG00000002342.17,1279.0,0.0,0.0
ENSMUSG00000002343.11,853.0,0.0,0.0
ENSMUSG00000002345.18,95.0,0.0,0.0
ENSMUSG00000002346.16,16.0,0.0,0.0
ENSMUSG00000002365.10,842.0,0.0,0.0
ENSMUSG00000002372.9,1892.0,0.0,0.0
ENSMUSG00000002379.7,873.0,0.0,0.0
ENSMUSG00000002384.2,7.0,0.0,0.0
ENSMUSG00000002393.14,1423.0,0.0,0.0
ENSMUSG00000002395.14,198.0,0.0,0.0
ENSMUSG00000002396.8,87.0,0.0,0.0
ENSMUSG00000002409.18,34.0,0.0,0.0
ENSMUSG00000002413.15,41.0,0.0,0.0
ENSMUSG00000002416.13,372.0,0.0,0.0
ENSMUSG00000002428.12,163.0,0.0,0.0
ENSMUSG00000002455.14,1465.0,0.0,0.0
ENSMUSG00000002458.13,392.0,0.0,0.0
ENSMUSG00000002459.17,127.0,0.0,0.0
ENSMUSG00000002475.16,13.0,0.0,0.0
ENSMUSG00000002477.5,259.0,0.0,0.0
ENSMUSG00000002486.15,115.0,0.0,0.0
ENSMUSG00000002489.16,50.0,0.0,0.0
ENSMUSG00000002496.10,723.0,0.0,0.0
ENSMUSG00000002500.15,24.0,0.0,0.0
ENSMUSG00000002504.15,323.0,0.0,0.0
ENSMUSG00000002524.17,6043.0,0.0,0.0
ENSMUSG00000002546.16,790.0,0.0,0.0
ENSMUSG00000002550.16,661.0,0.0,0.0
ENSMUSG00000002565.16,1.0,0.0,0.0
ENSMUSG00000002580.7,143.0,0.0,0.0
ENSMUSG00000002602.16,2649.0,0.0,0.0
ENSMUSG00000002603.15,139.0,0.0,0.0
ENSMUSG00000002608.8,109.0,0.0,0.0
ENSMUSG00000002617.14,44.0,0.0,0.0
ENSMUSG00000002625.10,323.0,0.0,0.0
ENSMUSG00000002635.11,193.0,0.0,0.0
ENSMUSG00000002658.9,1938.0,0.0,0.0
ENSMUSG00000002660.8,410.0,0.0,0.0
ENSMUSG00000002661.14,83.0,0.0,0.0
ENSMUSG00000002679.14,146.0,0.0,0.0
ENSMUSG00000002718.14,1488.0,0.0,0.0
ENSMUSG00000002728.14,424.0,0.0,0.0
ENSMUSG00000002731.6,243.0,0.0,0.0
ENSMUSG00000002732.14,69.0,0.0,0.0
ENSMUSG00000002733.8,89.0,0.0,0.0
ENSMUSG00000002741.9,418.0,0.0,0.0
ENSMUSG00000002748.7,785.0,0.0,0.0
ENSMUSG00000002763.16,285.0,0.0,0.0
ENSMUSG00000002767.13,538.0,0.0,0.0
ENSMUSG00000002768.8,331.0,0.0,0.0
ENSMUSG00000002769.9,1.0,0.0,0.0
ENSMUSG00000002771.12,29.0,0.0,0.0
ENSMUSG00000002778.14,362.0,0.0,0.0
ENSMUSG00000002781.19,34.0,0.0,0.0
ENSMUSG00000002797.9,31.0,0.0,0.0
ENSMUSG00000002799.6,503.0,0.0,0.0
ENSMUSG00000002803.14,245.0,0.0,0.0
ENSMUSG00000002804.4,235.0,0.0,0.0
ENSMUSG00000002808.7,1602.0,0.0,0.0
ENSMUSG00000002812.4,2411.0,0.0,0.0
ENSMUSG00000002814.15,272.0,0.0,0.0
ENSMUSG00000002820.6,757.0,0.0,0.0
ENSMUSG00000002825.8,250.0,0.0,0.0
ENSMUSG00000002831.13,21.0,0.0,0.0
ENSMUSG00000002833.11,2378.0,0.0,0.0
ENSMUSG00000002835.9,1831.0,0.0,0.0
ENSMUSG00000002844.9,1497.0,0.0,0.0
ENSMUSG00000002845.14,358.0,0.0,0.0
ENSMUSG00000002846.9,270.0,0.0,0.0
ENSMUSG00000002847.7,48.0,0.0,0.0
ENSMUSG00000002870.8,5253.0,0.0,0.0
ENSMUSG00000002871.14,323.0,0.0,0.0
ENSMUSG00000002881.14,567.0,0.0,0.0
ENSMUSG00000002885.14,1488.0,0.0,0.0
ENSMUSG00000002897.5,1051.0,0.0,0.0
ENSMUSG00000002900.16,1246.0,0.0,0.0
ENSMUSG00000002908.17,69.0,0.0,0.0
ENSMUSG00000002910.11,146.0,0.0,0.0
ENSMUSG00000002944.15,51.0,0.0,0.0
ENSMUSG00000002948.19,418.0,0.0,0.0
ENSMUSG00000002949.15,1003.0,0.0,0.0
ENSMUSG00000002957.11,3007.0,0.0,0.0
ENSMUSG00000002963.17,381.0,0.0,0.0
ENSMUSG00000002968.9,1254.0,0.0,0.0
ENSMUSG00000002980.14,253.0,0.0,0.0
ENSMUSG00000002981.10,1971.0,0.0,0.0
ENSMUSG00000002983.17,261.0,0.0,0.0
ENSMUSG00000002984.17,2588.0,0.0,0.0
ENSMUSG00000002985.16,12.0,0.0,0.0
ENSMUSG00000002992.17,2.0,0.0,0.0
ENSMUSG00000002996.17,668.0,0.0,0.0
ENSMUSG00000002997.15,570.0,0.0,0.0
ENSMUSG00000003031.14,30.0,0.0,0.0
ENSMUSG00000003032.8,157.0,0.0,0.0
ENSMUSG00000003033.15,1729.0,0.0,0.0
ENSMUSG00000003037.16,1427.0,0.0,0.0
ENSMUSG00000003038.15,4344.0,0.0,0.0
ENSMUSG00000003039.9,767.0,0.0,0.0
ENSMUSG00000003062.13,435.0,0.0,0.0
ENSMUSG00000003068.16,331.0,0.0,0.0
ENSMUSG00000003070.6,78.0,0.0,0.0
ENSMUSG00000003072.15,1712.0,0.0,0.0
ENSMUSG00000003099.11,1719.0,0.0,0.0
ENSMUSG00000003119.14,98.0,0.0,0.0
ENSMUSG00000003123.15,34.0,0.0,0.0
ENSMUSG00000003131.7,2552.0,0.0,0.0
ENSMUSG00000003134.10,204.0,0.0,0.0
ENSMUSG00000003135.15,240.0,0.0,0.0
ENSMUSG00000003153.10,11.0,0.0,0.0
ENSMUSG00000003154.15,177.0,0.0,0.0
ENSMUSG00000003161.15,440.0,0.0,0.0
ENSMUSG00000003166.20,637.0,0.0,0.0
ENSMUSG00000003184.15,269.0,0.0,0.0
ENSMUSG00000003190.12,44.0,0.0,0.0
ENSMUSG00000003198.10,115.0,0.0,0.0
ENSMUSG00000003199.16,446.0,0.0,0.0
ENSMUSG00000003200.10,1895.0,0.0,0.0
ENSMUSG00000003208.9,147.0,0.0,0.0
ENSMUSG00000003226.7,231.0,0.0,0.0
ENSMUSG00000003228.9,65.0,0.0,0.0
ENSMUSG00000003233.12,115.0,0.0,0.0
ENSMUSG00000003234.16,1360.0,0.0,0.0
ENSMUSG00000003235.13,2156.0,0.0,0.0
ENSMUSG00000003269.17,737.0,0.0,0.0
ENSMUSG00000003271.17,20.0,0.0,0.0
ENSMUSG00000003273.14,7.0,0.0,0.0
ENSMUSG00000003279.17,37.0,0.0,0.0
ENSMUSG00000003282.9,6.0,0.0,0.0
ENSMUSG00000003283.14,3.0,0.0,0.0
ENSMUSG00000003299.10,519.0,0.0,0.0
ENSMUSG00000003308.15,1030.0,0.0,0.0
ENSMUSG00000003309.14,1.0,0.0,0.0
ENSMUSG00000003316.14,917.0,0.0,0.0
ENSMUSG00000003344.14,208.0,0.0,0.0
ENSMUSG00000003345.16,845.0,0.0,0.0
ENSMUSG00000003346.14,563.0,0.0,0.0
ENSMUSG00000003348.10,836.0,0.0,0.0
ENSMUSG00000003352.14,1205.0,0.0,0.0
ENSMUSG00000003354.6,9.0,0.0,0.0
ENSMUSG00000003355.7,71.0,0.0,0.0
ENSMUSG00000003360.15,3089.0,0.0,0.0
ENSMUSG00000003363.15,514.0,0.0,0.0
ENSMUSG00000003378.9,86.0,0.0,0.0
ENSMUSG00000003380.11,239.0,0.0,0.0
ENSMUSG00000003382.18,72.0,0.0,0.0
ENSMUSG00000003402.14,902.0,0.0,0.0
ENSMUSG00000003411.10,9.0,0.0,0.0
ENSMUSG00000003418.11,1.0,0.0,0.0
ENSMUSG00000003420.8,377.0,0.0,0.0
ENSMUSG00000003421.13,339.0,0.0,0.0
ENSMUSG00000003423.15,221.0,0.0,0.0
ENSMUSG00000003429.11,1482.0,0.0,0.0
ENSMUSG00000003435.9,1074.0,0.0,0.0
ENSMUSG00000003437.14,519.0,0.0,0.0
ENSMUSG00000003438.17,1464.0,0.0,0.0
ENSMUSG00000003444.8,181.0,0.0,0.0
ENSMUSG00000003452.15,54.0,0.0,0.0
ENSMUSG00000003458.12,591.0,0.0,0.0
ENSMUSG00000003464.13,1135.0,0.0,0.0
ENSMUSG00000003476.16,3.0,0.0,0.0
ENSMUSG00000003484.4,1.0,0.0,0.0
ENSMUSG00000003500.13,1289.0,0.0,0.0
ENSMUSG00000003518.13,634.0,0.0,0.0
ENSMUSG00000003526.12,311.0,0.0,0.0
ENSMUSG00000003527.9,594.0,0.0,0.0
ENSMUSG00000003528.15,304.0,0.0,0.0
ENSMUSG00000003531.15,372.0,0.0,0.0
ENSMUSG00000003534.17,1163.0,0.0,0.0
ENSMUSG00000003541.6,178.0,0.0,0.0
ENSMUSG00000003545.3,3.0,0.0,0.0
ENSMUSG00000003546.10,301.0,0.0,0.0
ENSMUSG00000003549.9,260.0,0.0,0.0
ENSMUSG00000003559.8,113.0,0.0,0.0
ENSMUSG00000003573.15,416.0,0.0,0.0
ENSMUSG00000003575.13,170.0,0.0,0.0
ENSMUSG00000003581.14,161.0,0.0,0.0
ENSMUSG00000003585.13,63.0,0.0,0.0
ENSMUSG00000003604.14,110.0,0.0,0.0
ENSMUSG00000003617.16,19.0,0.0,0.0
ENSMUSG00000003623.4,293.0,0.0,0.0
ENSMUSG00000003644.17,158.0,0.0,0.0
ENSMUSG00000003660.10,536.0,0.0,0.0
ENSMUSG00000003662.10,200.0,0.0,0.0
ENSMUSG00000003665.7,61.0,0.0,0.0
ENSMUSG00000003680.16,236.0,0.0,0.0
ENSMUSG00000003721.14,766.0,0.0,0.0
ENSMUSG00000003731.13,966.0,0.0,0.0
ENSMUSG00000003746.16,51.0,0.0,0.0
ENSMUSG00000003752.9,105.0,0.0,0.0
ENSMUSG00000003762.13,296.0,0.0,0.0
ENSMUSG00000003778.14,882.0,0.0,0.0
ENSMUSG00000003779.16,3682.0,0.0,0.0
ENSMUSG00000003808.18,3938.0,0.0,0.0
