match_type,gene
symbol,5330431K02Rik
symbol,5330438D12Rik
symbol,5330439A09Rik
symbol,5330439K02Rik
symbol,5430400D12Rik
symbol,5430402O13Rik
symbol,5430403G16Rik
symbol,5430405H02Rik
symbol,5430416N02Rik
symbol,5430427M07Rik
symbol,5430431A17Rik
symbol,5530601H04Rik
symbol,5730405O15Rik
symbol,5730409E04Rik
symbol,5730414N17Rik
symbol,5730419F03Rik
symbol,5730455P16Rik
symbol,5730480H06Rik
symbol,5730507A11Rik
symbol,5830408C22Rik
symbol,5830417I10Rik
symbol,5830418P13Rik
symbol,5830432E09Rik
symbol,5830448L01Rik
symbol,5830462I19Rik
symbol,5930420M18Rik
symbol,5930430L01Rik
symbol,6030407O03Rik
symbol,6030442K20Rik
symbol,6030443J06Rik
symbol,6030445D17Rik
symbol,6030458C11Rik
symbol,6230400D17Rik
symbol,6330403L08Rik
symbol,6330408M09Rik
symbol,6330411D24Rik
symbol,6330418K02Rik
symbol,6330549D23Rik
symbol,6330562C20Rik
symbol,6430531B16Rik
symbol,6430548M08Rik
symbol,6430550D23Rik
symbol,6430571L13Rik
symbol,6430573P05Rik
symbol,6430710M23Rik
symbol,6530401F13Rik
symbol,6530402F18Rik
symbol,6530409C15Rik
symbol,6720464F23Rik
symbol,6720482G16Rik
symbol,6720489N17Rik
symbol,6820431F20Rik
symbol,7330423F06Rik
symbol,8030451A03Rik
symbol,8030462N17Rik
symbol,8430423G03Rik
symbol,8430426J06Rik
symbol,8430429K09Rik
symbol,8430432A02Rik
symbol,9030025P20Rik
symbol,9030407P20Rik
symbol,9130008F23Rik
symbol,9130019O22Rik
symbol,9130019P16Rik
symbol,9130023H24Rik
symbol,9130024F11Rik
symbol,9130204K15Rik
symbol,9130221H12Rik
symbol,9130230L23Rik
symbol,9130230N09Rik
symbol,9130401M01Rik
symbol,9230104L09Rik
symbol,9230111E07Rik
symbol,9230114K14Rik
symbol,9230116N13Rik
symbol,9330020H09Rik
symbol,9330111N05Rik
symbol,9330136K24Rik
symbol,9330151L19Rik
symbol,9330154J02Rik
symbol,9330159F19Rik
symbol,9330159M07Rik
symbol,9330160F10Rik
symbol,9330162G02Rik
symbol,9330175M20Rik
symbol,9330179D12Rik
symbol,9330198N18Rik
symbol,9430015G10Rik
symbol,9430031K09Rik
symbol,9430037G07Rik
symbol,9430038I01Rik
symbol,9430060I03Rik
symbol,9430062P05Rik
symbol,9430081H08Rik
symbol,9430085M18Rik
symbol,9430091E24Rik
symbol,9530018F02Rik
symbol,9530018H14Rik
symbol,9530026P05Rik
symbol,9530027J09Rik
symbol,9530034E10Rik
symbol,9530046B11Rik
symbol,9530052C20Rik
symbol,9530053A07Rik
symbol,9530056E24Rik
symbol,9530056K15Rik
symbol,9530068E07Rik
symbol,9530077C05Rik
symbol,9530078K11Rik
symbol,9530082P21Rik
symbol,9530085L11Rik
symbol,9630013D21Rik
symbol,9630028H03Rik
symbol,9830132P13Rik
symbol,9830144P21Rik
symbol,9930012K11Rik
symbol,9930017N22Rik
symbol,9930021J03Rik
symbol,9930024M15Rik
symbol,9930104L06Rik
symbol,9930111J21Rik1
symbol,9930111J21Rik2
symbol,A130010J15Rik
symbol,A130012E19Rik
symbol,A130014A01Rik
symbol,A130051J06Rik
symbol,A230001M10Rik
symbol,A230006K03Rik
symbol,A230009B12Rik
symbol,A230028O05Rik
symbol,A230050P20Rik
symbol,A230056P14Rik
symbol,A230057D06Rik
symbol,A230065N10Rik
symbol,A230072C01Rik
symbol,A230083G16Rik
symbol,A230087F16Rik
symbol,A230103J11Rik
symbol,A330009N23Rik
symbol,A330015K06Rik
symbol,A330032B11Rik
symbol,A330035P11Rik
